B1000,B1001,B1002,B1003,B1004,B1005,B1006,B1007,B1008,B1010,B1011,B1012,B1013,B1014
365331.0,128660.0,123354.0,120056.0,123021.0,170200.0,173165.0,148484.0,167876.0,0.0,89981.0,144202.0,105658.0,162787.0
365550.0,129936.0,124995.0,121429.0,124915.0,174110.0,176435.0,151425.0,171106.0,0.0,80909.0,136499.0,104663.0,252959.0
330667.0,122055.0,117451.0,114214.0,117913.0,162602.0,165705.0,141647.0,159148.0,0.0,76488.0,134017.0,96101.0,158725.0
291496.0,111015.0,107420.0,104005.0,107302.0,145822.0,150618.0,128305.0,142643.0,2995.0,79932.0,132601.0,88681.0,0.0
288440.0,110197.0,106356.0,102986.0,106180.0,144992.0,148997.0,127403.0,142515.0,4225.0,76108.0,123819.0,86334.0,0.0
286051.0,109321.0,105456.0,102250.0,105432.0,144785.0,147905.0,126744.0,142380.0,5620.0,72479.0,118442.0,84708.0,0.0
308600.0,114272.0,109949.0,106546.0,109935.0,152940.0,155004.0,133620.0,150961.0,6551.0,66756.0,110644.0,89042.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134554.0,0.0,2169.0,0.0,83838.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122456.0,0.0,2173.0,0.0,71026.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200133.0,0.0,2177.0,0.0,161464.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277129.0,0.0,2180.0,0.0,251186.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110666.0,0.0,2651.0,0.0,67228.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108975.0,0.0,2659.0,0.0,67114.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
