SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf54,B1003,top,0,1,463125.08,15224845.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224844.251600001 463126.0832 15224844.251600001 463126.0832 15224846.251600001 463124.0832 15224846.251600001,1094678.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf54
srf55,B1003,top,0,1,463125.08,15224847.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224846.251600001 463126.0832 15224846.251600001 463126.0832 15224848.251600001 463124.0832 15224848.251600001,1094678.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf55
srf56,B1003,top,0,1,463125.08,15224849.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224848.251600001 463126.0832 15224848.251600001 463126.0832 15224850.251600001 463124.0832 15224850.251600001,1094678.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf56
srf57,B1003,top,0,1,463125.08,15224851.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224850.251600001 463126.0832 15224850.251600001 463126.0832 15224852.251600001 463124.0832 15224852.251600001,1094420.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf57
srf58,B1003,top,0,1,463125.08,15224853.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224852.251600001 463126.0832 15224852.251600001 463126.0832 15224854.251600001 463124.0832 15224854.251600001,1094588.88,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf58
srf59,B1003,top,0,1,463125.08,15224855.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224854.251600001 463126.0832 15224854.251600001 463126.0832 15224856.251600001 463124.0832 15224856.251600001,1092773.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf59
srf60,B1003,top,0,1,463125.08,15224857.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224856.251600001 463126.0832 15224856.251600001 463126.0832 15224858.251600001 463124.0832 15224858.251600001,1092582.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf60
srf61,B1003,top,0,1,463125.08,15224859.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224858.251600001 463126.0832 15224858.251600001 463126.0832 15224860.251600001 463124.0832 15224860.251600001,1092960.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf61
srf62,B1003,top,0,1,463125.08,15224861.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224860.251600001 463126.0832 15224860.251600001 463126.0832 15224862.251600001 463124.0832 15224862.251600001,1093117.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf62
srf63,B1003,top,0,1,463125.08,15224863.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224862.251600001 463126.0832 15224862.251600001 463126.0832 15224864.251600001 463124.0832 15224864.251600001,1093161.75,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf63
srf64,B1003,top,0,1,463125.07,15224865.18,16.00,-0.00,0.00,1,3.72,roofs,3,0,463124.0832 15224864.251600001 463126.0832 15224864.251600001 463126.0832 15224866.020249097 463124.0832 15224866.206324369,1094669.62,0.00,15.33,1.82,-0.00,1.99,5,6,10,roofs_top,srf64
srf65,B1003,top,0,1,463127.12,15224833.83,16.00,-0.00,0.00,1,1.69,roofs,3,0,463128.0832 15224833.316339485 463128.0832 15224834.251600001 463126.0832 15224834.251600001 463126.0832 15224833.501371589,1080480.62,0.00,15.33,1.82,-0.00,0.90,5,6,10,roofs_top,srf65
srf66,B1003,top,0,1,463127.08,15224835.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224834.251600001 463128.0832 15224834.251600001 463128.0832 15224836.251600001 463126.0832 15224836.251600001,1082858.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf66
srf67,B1003,top,0,1,463127.08,15224837.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224836.251600001 463128.0832 15224836.251600001 463128.0832 15224838.251600001 463126.0832 15224838.251600001,1084306.88,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf67
srf68,B1003,top,0,1,463127.08,15224839.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224838.251600001 463128.0832 15224838.251600001 463128.0832 15224840.251600001 463126.0832 15224840.251600001,1089233.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf68
srf69,B1003,top,0,1,463127.08,15224841.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224840.251600001 463128.0832 15224840.251600001 463128.0832 15224842.251600001 463126.0832 15224842.251600001,1091815.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf69
srf70,B1003,top,0,1,463127.08,15224843.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224842.251600001 463128.0832 15224842.251600001 463128.0832 15224844.251600001 463126.0832 15224844.251600001,1090581.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf70
